ID,Date,Basin,Region,Pollutant,Concentration,MPC,water_body,water_body_type,station,source_bulletin
118,2024-06-30,Nura-Sarysu,Karaganda,Zinc,0.0166,0.01,Қоқай көлі,lake,,Nura-Sarysu_2024-06.pdf
119,2024-08-31,Nura-Sarysu,Karaganda,Copper,0.0006,0.001,Балкаш көлі,lake,,Nura-Sarysu_2024-08.pdf
120,2024-08-31,Nura-Sarysu,Karaganda,Copper,0.0023,0.001,Теңіз көлі,lake,,Nura-Sarysu_2024-08.pdf
121,2024-08-31,Nura-Sarysu,Karaganda,Copper,0.003,0.001,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-08.pdf
122,2024-08-31,Nura-Sarysu,Karaganda,Copper,0.0039,0.001,Шолақ көлі,lake,,Nura-Sarysu_2024-08.pdf
123,2024-08-31,Nura-Sarysu,Karaganda,Copper,0.0042,0.001,Есей көлі,lake,,Nura-Sarysu_2024-08.pdf
124,2024-08-31,Nura-Sarysu,Karaganda,Copper,0.0048,0.001,Қоқай көлі,lake,,Nura-Sarysu_2024-08.pdf
125,2024-08-31,Nura-Sarysu,Karaganda,Oil Products,0.01,0.05,Шолақ көлі,lake,,Nura-Sarysu_2024-08.pdf
126,2024-08-31,Nura-Sarysu,Karaganda,Oil Products,0.01,0.05,Есей көлі,lake,,Nura-Sarysu_2024-08.pdf
127,2024-08-31,Nura-Sarysu,Karaganda,Oil Products,0.049,0.05,Балкаш көлі,lake,,Nura-Sarysu_2024-08.pdf
128,2024-08-31,Nura-Sarysu,Karaganda,Phenols,0.0003,0.001,Балкаш көлі,lake,,Nura-Sarysu_2024-08.pdf
129,2024-08-31,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Қоқай көлі,lake,,Nura-Sarysu_2024-08.pdf
130,2024-08-31,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Шолақ көлі,lake,,Nura-Sarysu_2024-08.pdf
131,2024-08-31,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Есей көлі,lake,,Nura-Sarysu_2024-08.pdf
132,2024-08-31,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-08.pdf
133,2024-08-31,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Теңіз көлі,lake,,Nura-Sarysu_2024-08.pdf
134,2024-08-31,Nura-Sarysu,Karaganda,Sulfates,165.0,500.0,Шолақ көлі,lake,,Nura-Sarysu_2024-08.pdf
135,2024-08-31,Nura-Sarysu,Karaganda,Sulfates,191.0,500.0,Қоқай көлі,lake,,Nura-Sarysu_2024-08.pdf
136,2024-08-31,Nura-Sarysu,Karaganda,Sulfates,195.0,500.0,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-08.pdf
137,2024-08-31,Nura-Sarysu,Karaganda,Sulfates,310.0,500.0,Есей көлі,lake,,Nura-Sarysu_2024-08.pdf
138,2024-08-31,Nura-Sarysu,Karaganda,Sulfates,936.25,500.0,Балкаш көлі,lake,,Nura-Sarysu_2024-08.pdf
139,2024-08-31,Nura-Sarysu,Karaganda,Sulfates,1879.0,500.0,Теңіз көлі,lake,,Nura-Sarysu_2024-08.pdf
140,2024-08-31,Nura-Sarysu,Karaganda,Zinc,0.003,0.01,Балкаш көлі,lake,,Nura-Sarysu_2024-08.pdf
141,2024-09-30,Nura-Sarysu,Karaganda,Copper,0.0005,0.001,Балкаш көлі,lake,,Nura-Sarysu_2024-09.pdf
142,2024-09-30,Nura-Sarysu,Karaganda,Copper,0.001,0.001,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-09.pdf
143,2024-09-30,Nura-Sarysu,Karaganda,Copper,0.001,0.001,Теңіз көлі,lake,,Nura-Sarysu_2024-09.pdf
144,2024-09-30,Nura-Sarysu,Karaganda,Copper,0.0011,0.001,Қоқай көлі,lake,,Nura-Sarysu_2024-09.pdf
145,2024-09-30,Nura-Sarysu,Karaganda,Copper,0.0011,0.001,Есей көлі,lake,,Nura-Sarysu_2024-09.pdf
146,2024-09-30,Nura-Sarysu,Karaganda,Copper,0.0016,0.001,Шолақ көлі,lake,,Nura-Sarysu_2024-09.pdf
147,2024-09-30,Nura-Sarysu,Karaganda,Oil Products,0.01,0.05,Шолақ көлі,lake,,Nura-Sarysu_2024-09.pdf
148,2024-09-30,Nura-Sarysu,Karaganda,Oil Products,0.01,0.05,Есей көлі,lake,,Nura-Sarysu_2024-09.pdf
149,2024-09-30,Nura-Sarysu,Karaganda,Oil Products,0.036,0.05,Балкаш көлі,lake,,Nura-Sarysu_2024-09.pdf
150,2024-09-30,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Қоқай көлі,lake,,Nura-Sarysu_2024-09.pdf
151,2024-09-30,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Шолақ көлі,lake,,Nura-Sarysu_2024-09.pdf
152,2024-09-30,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Есей көлі,lake,,Nura-Sarysu_2024-09.pdf
153,2024-09-30,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-09.pdf
154,2024-09-30,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Теңіз көлі,lake,,Nura-Sarysu_2024-09.pdf
